Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
stoloniferous pussy toes,Antennaria flagellaris,seasonally moist sagebrush scrub,Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"stoloniferous pussy toes (INF:SCC; CRPR 4.2, Blooming Period: May - Jun; Habitat description: seasonally moist sagebrush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"stoloniferous pussy toes (INF:SCC; CRPR 4.2, Blooming Period: May - Jun; Habitat description: seasonally moist sagebrush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (stoloniferous pussy toes): A biological survey is required. 

FSS Plant Avoidance (stoloniferous pussy toes): If stoloniferous pussy toes is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Stony Creek spurge,Euphorbia ocellata ssp. rattanii,sandy or stony ground,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
straight awned spineflower,Chorizanthe rectispina,sand or gravel,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"straight awned spineflower (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: sand or gravel) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"straight awned spineflower (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: sand or gravel) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (straight awned spineflower): A biological survey is required. 

FSS Plant Avoidance (straight awned spineflower): If straight awned spineflower is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Striped adobe lily,Fritillaria striata,"grasslands, openings in oak woodland; generally occurs on the lower portions of north-facing slopes",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Striped adobe lily (ST; FSS; CRPR 1B.1; Habitat description: grasslands, openings in oak woodland; generally occurs on the lower portions of north-facing slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Striped adobe lily (ST; FSS; CRPR 1B.1; Habitat description: grasslands, openings in oak woodland; generally occurs on the lower portions of north-facing slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Striped adobe lily): A biological survey is required. 

State Threatened Plant Avoidance (Striped adobe lily): If Striped adobe lilyis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
subalpine aster,Eurybia merita,montane forest,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
subalpine cryptantha,Cryptantha crymophila,"open areas on slopes, ridges, and colluvial barrens, in subalpine coniferous forest and sagebrush",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
subalpine fir,Abies lasiocarpa var lasiocarpa,"subalpine forests, meadows addition jargon for field folks soils: sandy gravel loam 500-4500ft",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
subalpine fireweed,Epilobium howellii,"wet meadows, mossy seeps",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"subalpine fireweed (INF:SCC; CRPR 4.3, Blooming Period: Jul - Aug; Habitat description: wet meadows, mossy seeps) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"subalpine fireweed (INF:SCC; CRPR 4.3, Blooming Period: Jul - Aug; Habitat description: wet meadows, mossy seeps) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (subalpine fireweed): A biological survey is required. 

FSS Plant Avoidance (subalpine fireweed): If subalpine fireweed is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
subtle orache,Atriplex subtilis,saline depressions,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
succulent owl's-clover,Castilleja campestris var. succulenta,"freshwater wetlands, foothill woodland, valley grassland, wetland-riparian",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"succulent owl's-clover (FT; SE; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: freshwater wetlands, foothill woodland, valley grassland, wetland-riparian) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"succulent owl's-clover (FT; SE; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: freshwater wetlands, foothill woodland, valley grassland, wetland-riparian) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (succulent owl's-clover): A qualified botanist will conduct a rare plant survey for succulent owl's-clover within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (succulent owl's-clover): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Suisun Marsh aster,Symphyotrichum lentum,tidal streams and among tulles in marshy areas,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Suisun shrew,Sorex ornatus sinuosus,tidal and brackish marsh,No,Mammal,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Suisun song sparrow,Melospiza melodia maxillaris,"tidal channels, and marshes",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Suisun thistle,Cirsium hydrophilum var. hydrophilum,tidal marsh,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Suisun thistle (FE; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: tidal marsh) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Suisun thistle (FE; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: tidal marsh) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Suisun thistle): A qualified botanist will conduct a rare plant survey for Suisun thistle within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Suisun thistle): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Suksdorf's broom rape,Orobanche ludoviciana var. arenosa,great basin scrub,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Suksdorf's milk-vetch,Astragalus pulsiferae var. suksdorfii,"loose, often rocky soil, often with pines, sagebrush",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Suksdorf's milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: loose, often rocky soil, often with pines, sagebrush) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Suksdorf's milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: loose, often rocky soil, often with pines, sagebrush) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Suksdorf's milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Suksdorf's milk-vetch): If Suksdorf's milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Sulphur Creek brodiaea,Brodiaea matsonii,intermittent streambeds in foothill woodlands,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
summer holly,Comarostaphylis diversifolia ssp. diversifolia,chaparral,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
summer tanager,Piranga rubra,"open oak, hickory, mixed oak-pine woodlands, riparian woodlands ",No,Bird,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
supple daisy,Erigeron supplex,"coastal areas, bluffs",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Surf thistle,Cirsium rhothophilum,"dunes, bluffs; range: pt conception dunes; occurs only in the narrow strip of coastal habitat between stabilized dunes and windblown beach",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Surf thistle (ST; BLM:S; CRPR 1B.2, Blooming Period: Apr - Aug; Habitat description: dunes, bluffs; range: pt conception dunes; occurs only in the narrow strip of coastal habitat between stabilized dunes and windblown beach) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Surf thistle (ST; BLM:S; CRPR 1B.2, Blooming Period: Apr - Aug; Habitat description: dunes, bluffs; range: pt conception dunes; occurs only in the narrow strip of coastal habitat between stabilized dunes and windblown beach) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Surf thistle): A biological survey is required. 

State Threatened Plant Avoidance (Surf thistle): If Surf thistleis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Susanville beardtongue,Penstemon sudans,"open, rocky, igneous soils in sagebrush scrub, yellow-pine and montane forests",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Susanville beardtongue (FSS; BLM:S; CRPR 4.3, Blooming Period: May - Jul; Habitat description: open, rocky, igneous soils in sagebrush scrub, yellow-pine and montane forests) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Susanville beardtongue (FSS; BLM:S; CRPR 4.3, Blooming Period: May - Jul; Habitat description: open, rocky, igneous soils in sagebrush scrub, yellow-pine and montane forests) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Susanville beardtongue): A biological survey is required. 

FSS Plant Avoidance (Susanville beardtongue): If Susanville beardtongue is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Swainson's Hawk,Buteo swainsoni,"tall shrubs, solitary trees, or small groves with adjacent open grasslands or agricultural fields",Yes,Bird,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,"Swainson's Hawk (ST; BLM:S; Habitat description: tall shrubs, solitary trees, or small groves with adjacent open grasslands or agricultural fields) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",--,--,"Swainson's Hawk (ST; BLM:S; Habitat description: tall shrubs, solitary trees, or small groves with adjacent open grasslands or agricultural fields) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
swamp harebell,Campanula californica,marshy areas,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Sweet smelling monardella,Monardella beneolens,rocky granitic or metamorphic slopes in open conifer forest,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Sweet smelling monardella (FSS; BLM:S; CRPR 1B.3, Blooming Period: Apr - Sep; Habitat description: rocky granitic or metamorphic slopes in open conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Sweet smelling monardella (FSS; BLM:S; CRPR 1B.3, Blooming Period: Apr - Sep; Habitat description: rocky granitic or metamorphic slopes in open conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (sweet smelling monardella): A biological survey is required. 

FSS Plant Avoidance (sweet smelling monardella): If sweet smelling monardella is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Sweetwater Mountains draba,Draba incrassata,"alpine barrens, rocky slopes",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Sweetwater Mountains draba (FSS; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: alpine barrens, rocky slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Sweetwater Mountains draba (FSS; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: alpine barrens, rocky slopes) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Sweetwater Mountains draba): A biological survey is required. 

FSS Plant Avoidance (Sweetwater Mountains draba): If Sweetwater Mountains draba is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tahoe draba,Draba asterophora var. asterophora,"rock crevices, alpine barrens, talus",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tahoe draba (FSS; CRPR 1B.2, Blooming Period: Jul - Aug; Habitat description: rock crevices, alpine barrens, talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tahoe draba (FSS; CRPR 1B.2, Blooming Period: Jul - Aug; Habitat description: rock crevices, alpine barrens, talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tahoe draba): A biological survey is required. 

FSS Plant Avoidance (Tahoe draba): If Tahoe draba is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tahoe yellow cress,Rorippa subumbellata,sandy lake margins,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tahoe yellow cress (SE; FSS; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: sandy lake margins) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tahoe yellow cress (SE; FSS; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: sandy lake margins) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tahoe yellow cress): A biological survey is required. 

State Threatened Plant Avoidance (Tahoe yellow cress): If Tahoe yellow cressis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tahquitz ivesia,Ivesia callida,granite crevices,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tahquitz ivesia (SR; FSS; CRPR 1B.3, Blooming Period: Jul - Sep; Habitat description: granite crevices) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tahquitz ivesia (SR; FSS; CRPR 1B.3, Blooming Period: Jul - Sep; Habitat description: granite crevices) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tahquitz ivesia): A biological survey is required. 

State Threatened Plant Avoidance (Tahquitz ivesia): If Tahquitz ivesiais observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
tall alpine aster,Oreostemma elatum,"peatlands, marshy areas, wet meadows, montane forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"tall alpine aster (FSS; CRPR 1B.2, Blooming Period: Jul - Aug; Habitat description: peatlands, marshy areas, wet meadows, montane forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"tall alpine aster (FSS; CRPR 1B.2, Blooming Period: Jul - Aug; Habitat description: peatlands, marshy areas, wet meadows, montane forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (tall alpine aster): A biological survey is required. 

FSS Plant Avoidance (tall alpine aster): If tall alpine aster is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
tall draba,Draba praealta,"montane or subalpine moist meadows, streambanks, forest, talus, shale cliffs",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
tall tumble mustard,Sisymbrium altissimum,"disturbed areas, fields, pastures",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"tall tumble mustard (INF:SCC; Invasive, Blooming Period: May - Jul; Habitat description: disturbed areas, fields, pastures) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIA,"tall tumble mustard (INF:SCC; Invasive, Blooming Period: May - Jul; Habitat description: disturbed areas, fields, pastures) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","Invasive Plant BMPs 1-8; 

General Measures and Standard OMP BMPs. ","Invasive Plants: Non-native plant infestations within the action area will be flagged and avoided. If infestations cannot be avoided, all off-road equipment will be cleaned with compressed air, pressure washers, brushes, or similar equipment prior to moving between work sites or leaving the area. Avoid chipping or mulching in infested areas unless a biological monitor has confirmed viable seeds are not present.

Staging Areas: Staging areas will avoid invasive and nonnative plant-infested areas, be limited in size, and utilize existing disturbed areas, to the extent feasible.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
talus collomia,Collomia larsenii,volcanic talus,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"talus collomia (FSS; CRPR 2B.2, Blooming Period: Jun - Sep; Habitat description: volcanic talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"talus collomia (FSS; CRPR 2B.2, Blooming Period: Jun - Sep; Habitat description: volcanic talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (talus collomia): A biological survey is required. 

FSS Plant Avoidance (talus collomia): If talus collomia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
talus fritillary,Fritillaria falcata,serpentine talus,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"talus fritillary (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: serpentine talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"talus fritillary (FSS; BLM:S; CRPR 1B.2, Blooming Period: Mar - May; Habitat description: serpentine talus) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (talus fritillary): A biological survey is required. 

FSS Plant Avoidance (talus fritillary): If talus fritillary is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tamalpais jewelflower,Streptanthus batrachopus,"serpentine barrens, chaparral",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tamalpais lessingia,Lessingia micradenia var. micradenia,"serpentine outcrops, gravelly roadcuts",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tamalpais oak,Quercus parvula var. tamalpaisensis,understory conifer woodland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
tear drop moss,Dacryophyllum falcifolium,shaded vertical surfaces on rocky cliffs and outcrops in conifer forest,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,tear drop moss (FSS; CRPR 1B.3; Habitat description: shaded vertical surfaces on rocky cliffs and outcrops in conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,tear drop moss (FSS; CRPR 1B.3; Habitat description: shaded vertical surfaces on rocky cliffs and outcrops in conifer forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,"BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (tear drop moss): A biological survey is required. 

FSS Plant Avoidance (tear drop moss): If tear drop moss is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
